0,1,2,3,4,5,6,7,8,9
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,978165.11,8.870749303542109
1.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,429194.89,8.796728545695098
1.0,0.0,0.0,0.0,0.0,0.0,1.0,134.0,678726.79,1.7328478218272474
1.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,558951.47,0.7399754397241299
1.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,1097940.43,8.016807032519425
1.0,0.0,0.0,0.0,0.0,0.0,1.0,148.0,588895.33,15.49654758435184
1.0,0.0,0.0,0.0,0.0,0.0,1.0,238.0,748595.73,15.49654758435184
1.0,0.0,0.0,0.0,0.0,0.0,1.0,140.0,948221.29,6.221721510713061
1.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,279475.72,17.50273733143934
1.0,0.0,0.0,0.0,0.0,0.0,1.0,118.0,279475.72,1.4479455948761424
1.0,0.0,0.0,0.0,0.0,0.0,1.0,203.0,1349987.64,1.944820893745788
1.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,364316.6,15.786940753740712
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,329382.13,10.74105355599178
1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,449157.45,10.911052053062777
1.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,598876.59,6.84367466089297
1.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,319400.84,3.381606795989785
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,648782.97,10.734017609335236
1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,299438.28,10.502184191667292
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,299438.28,6.971253098886981
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,319400.84,6.971253098886981
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,648782.97,1.169146930008619
1.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,359325.95,3.946519438745896
1.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,239550.63,16.776156981954024
1.0,0.0,0.0,0.0,0.0,0.0,1.0,148.0,648782.97,12.106539699279693
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,259513.19,77.53805734619087
1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,399251.07,0.8547814694454676
1.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,738614.47,1.5969797201475668
1.0,0.0,0.0,0.0,0.0,0.0,1.0,216.0,1497191.5,3.6688067130256377
1.0,0.0,0.0,0.0,0.0,0.0,1.0,135.0,698689.35,9.525388363407375
1.0,0.0,0.0,0.0,0.0,0.0,1.0,130.0,698689.35,6.929408512866344
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,489082.54,8.52209849389698
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,964534.63,1.7392722857427914
1.0,0.0,0.0,0.0,0.0,0.0,1.0,145.0,748595.73,1.3360758104205275
1.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,731015.72,2.276718431890693
1.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,1616966.85,3.4266903792439463
1.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0,798502.15,6.807388968766403
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,798502.15,7.396940545768953
1.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,748595.73,7.588865236281639
1.0,0.0,0.0,0.0,0.0,0.0,1.0,135.0,648782.97,8.870749303542109
1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,466125.61,0.782628816353025
1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,369307.22,1.587092077335696
1.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,898314.91,3.381606795989785
1.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0,349344.66,1.7592993852977525
1.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,807676.27,1.3360758104205275
1.0,0.0,0.0,0.0,0.0,0.0,1.0,175.0,858389.79,8.210579420331937
1.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,798502.15,11.091152696867802
1.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,399251.07,2.276718431890693
1.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,865070.26,4.8601123095292555
1.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,299438.28,15.49654758435184
1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,598876.59,0.9918885179531393
1.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,409232.33,7.098223525978598
1.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,389269.77,7.098223525978598
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,329382.13,2.365364614739738
1.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,439176.16,5.212840629532636
1.0,0.0,0.0,0.0,0.0,0.0,1.0,145.0,469120.01,5.435913576840102
1.0,0.0,0.0,0.0,0.0,0.0,1.0,167.0,848408.53,11.091152696867802
1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,399251.07,7.241671080621923
1.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,359325.95,1.6139434915132538
1.0,0.0,0.0,0.0,0.0,0.0,1.0,155.0,1147846.81,2.309627191361586
1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,848408.53,3.7265601449304677
1.0,0.0,0.0,0.0,0.0,0.0,1.0,140.0,948221.29,4.452933500153013
1.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,1077977.9,3.8477067036097474
1.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,367310.97,2.245460474060949
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,836430.98,4.8601123095292555
1.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,778539.59,6.783272584000758
1.0,0.0,0.0,0.0,0.0,0.0,1.0,165.0,598876.59,8.870749303542109
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,988146.4,1.4907683086429848
1.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,348346.53,1.3648268183870162
1.0,0.0,0.0,0.0,0.0,0.0,1.0,95.0,598876.59,2.276718431890693
1.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,568932.77,2.276718431890693
1.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,474509.81,8.579699261038542
1.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,312974.53,16.63810764680465
1.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,636045.06,10.67596084432129
1.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,610805.16,7.196404517172452
1.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,686524.82,7.196404517172452
1.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,254522.54,17.15290618083997
1.0,0.0,0.0,0.0,0.0,0.0,1.0,158.0,1110554.87,7.162239948445827
1.0,0.0,0.0,0.0,0.0,0.0,1.0,156.0,1144881.1,5.372308279803747
